#strain_name,accession,strain_taxon_id,seq_name
YJM244,CP006334,1294306,III
YJM244,CP004663,1294306,IV
YJM244,CP004757,1294306,V
YJM244,CP004893,1294306,VI
YJM244,CP005197,1294306,VII
YJM244,CP006122,1294306,VIII
YJM244,CP004985,1294306,IX
YJM244,CP005117,1294306,X
YJM244,CP005294,1294306,XI
YJM244,CP006438,1294306,XII
YJM244,CP005395,1294306,XIII
YJM244,CP005497,1294306,XIV
YJM244,CP005591,1294306,XV
YJM244,CP006214,1294306,XVI
YJM1083,CP004444,1292971,I
YJM1083,CP004603,1292971,II
YJM1083,CP006273,1292971,III
YJM1083,CP004694,1292971,IV
YJM1083,CP004788,1292971,V
YJM1083,CP004924,1292971,VI
YJM1083,CP005228,1292971,VII
YJM1083,CP006061,1292971,VIII
YJM1083,CP005016,1292971,IX
YJM1083,CP005111,1292971,X
YJM1083,CP005325,1292971,XI
YJM1083,CP006377,1292971,XII
YJM1083,CP005426,1292971,XIII
YJM1083,CP005528,1292971,XIV
YJM1083,CP005622,1292971,XV
YJM1083,CP006153,1292971,XVI
YJM1129,CP004445,1293430,I
YJM1129,CP004604,1293430,II
YJM1129,CP006274,1293430,III
YJM1129,CP004695,1293430,IV
YJM1129,CP004789,1293430,V
YJM1129,CP004925,1293430,VI
YJM1129,CP005229,1293430,VII
YJM1129,CP006062,1293430,VIII
YJM1129,CP005017,1293430,IX
YJM1129,CP005112,1293430,X
YJM1129,CP005326,1293430,XI
YJM1129,CP006378,1293430,XII
YJM1129,CP005427,1293430,XIII
YJM1129,CP005529,1293430,XIV
YJM1129,CP005623,1293430,XV
YJM1129,CP006154,1293430,XVI
YJM193,CP004411,1294304,I
YJM193,CP004615,1294304,II
YJM193,CP006332,1294304,III
YJM193,CP004661,1294304,IV
YJM193,CP004755,1294304,V
YJM193,CP004891,1294304,VI
YJM193,CP005195,1294304,VII
YJM193,CP006120,1294304,VIII
YJM193,CP004983,1294304,IX
YJM193,CP005115,1294304,X
YJM193,CP005292,1294304,XI
YJM193,CP006436,1294304,XII
YJM193,CP005393,1294304,XIII
YJM193,CP005495,1294304,XIV
YJM193,CP005589,1294304,XV
YJM193,CP006212,1294304,XVI
YJM248,CP004414,1294307,I
YJM248,CP004618,1294307,II
YJM248,CP006335,1294307,III
YJM248,CP004664,1294307,IV
YJM248,CP004758,1294307,V
YJM248,CP004894,1294307,VI
YJM248,CP005198,1294307,VII
YJM248,CP006123,1294307,VIII
YJM248,CP004986,1294307,IX
YJM248,CP005118,1294307,X
YJM248,CP005295,1294307,XI
YJM248,CP006439,1294307,XII
YJM248,CP005396,1294307,XIII
YJM248,CP005498,1294307,XIV
YJM248,CP005592,1294307,XV
YJM248,CP006215,1294307,XVI
YJM320,CP004417,947042,I
YJM320,CP004621,947042,II
YJM320,CP006338,947042,III
YJM320,CP004667,947042,IV
YJM320,CP004761,947042,V
YJM320,CP004897,947042,VI
YJM320,CP005201,947042,VII
YJM320,CP006126,947042,VIII
YJM320,CP004989,947042,IX
YJM320,CP005121,947042,X
YJM320,CP005298,947042,XI
YJM320,CP006442,947042,XII
YJM320,CP005399,947042,XIII
YJM320,CP005501,947042,XIV
YJM320,CP005595,947042,XV
YJM320,CP006218,947042,XVI
YJM326,CP004418,468558,I
YJM326,CP004622,468558,II
YJM326,CP006339,468558,III
YJM326,CP004668,468558,IV
YJM326,CP004762,468558,V
YJM326,CP004898,468558,VI
YJM326,CP005202,468558,VII
YJM326,CP006127,468558,VIII
YJM326,CP004990,468558,IX
YJM326,CP005122,468558,X
YJM326,CP005299,468558,XI
YJM326,CP006443,468558,XII
YJM326,CP005400,468558,XIII
YJM326,CP005502,468558,XIV
YJM326,CP005596,468558,XV
YJM326,CP006219,468558,XVI
YJM428,CP004419,947044,I
YJM428,CP004623,947044,II
YJM428,CP006340,947044,III
YJM428,CP004669,947044,IV
YJM428,CP004763,947044,V
YJM428,CP004899,947044,VI
YJM428,CP005203,947044,VII
YJM428,CP006128,947044,VIII
YJM428,CP004991,947044,IX
YJM428,CP005123,947044,X
YJM428,CP005300,947044,XI
YJM428,CP006444,947044,XII
YJM428,CP005401,947044,XIII
YJM428,CP005503,947044,XIV
YJM428,CP005597,947044,XV
YJM428,CP006220,947044,XVI
YJM451,CP004421,502869,I
YJM451,CP004625,502869,II
YJM451,CP006342,502869,III
YJM451,CP004671,502869,IV
YJM451,CP004765,502869,V
YJM451,CP004901,502869,VI
YJM451,CP005205,502869,VII
YJM451,CP006130,502869,VIII
YJM451,CP004993,502869,IX
YJM451,CP005125,502869,X
YJM451,CP005302,502869,XI
YJM451,CP006446,502869,XII
YJM451,CP005403,502869,XIII
YJM451,CP005505,502869,XIV
YJM451,CP005599,502869,XV
